RETAIL STORE DAILY SALES,,,,,,,,
Store #12345,,,,,,,,
Generated: 2026-07-01,,,,,,,,
,,,,,,,,
Date,Receipt,Product Name,Category,Qty,Price,Total Amount,Cost,Payment
22 Jan 2026,R200681,Frozen Pizza ,Frozen,2,6.76,13.52,10.11,card
2026/01/22,R681300,Chips,Snacks,5,8.52,42.6,24.86,Mobile
22-01-2026,R187569,Bread,Bakery,9,6.61,59.49,38.3,Cash
01/22/26,R383619,Frozen Pizza,Frozen,17,£8.78,149.26,78.77,Mobile
01/22/2026,R564589,Cereal,Breakfast,12,8.77,105.2%,₺82.05,NA
01/22/2026,R195843,Chips,Snacks,16,1.49,₺23.84,14.3%,CASH
2026/01/23,R486307,Bread,Bakery,4,2.09,8.36,5.81,Card
23-01-2026,R254358,Milk,Dairy,6,9.15,"54,90",30.82 EUR,Mobile
-,R843920,Soda,Beverages,5,1.86,9.30 TRY,NULL,CASH
01/23/2026,R483059,Frozen Pizza,Frozen,11,7.94,87.34,62.55,Card
"Jan 23, 2026",R859115,Canned Soup,Canned Goods,15,7.74,116.1,78.13,CASH
23/01/2026,R188454,Bread,Bakery,17,"1,54",₺26.18,15.86,CASH
23 Jan 2026,R992531,Cereal,Breakfast,5,6.72,"33,60",21.33,card
23/01/26,R711659,Canned Soup,Canned Goods,14,2.9,40.60 TRY,26.24,Card
23-01-2026,R896358,Bread,Bakery,6,7.34,44.04,30.67,Mobile
23.01.2026,R809474,Cereal,Breakfast,13,3.43,nan,€26.15,none
23-01-2026,R734611,Milk,Dairy,19,6.09,115.71,83.33,
23/01/2026,R886641,Soda,Beverages,3,€1.33,null,₺2.46,Mobile
23 Jan 2026,R743302,Frozen Pizza,Frozen,7,6.71,46.97,28.56,Cash
23/01/26,R171921,Milk,Dairy,7,3.87,n/a,17.99,card
23.01.2026,R373752,Chips,Snacks,4,3.54,14.16,10.24,
23/01/2026,R849840,Soda,Beverages,7,8.22,57.54,37.19 EUR,n/a
23.01.2026,R285153,Frozen Pizza,Frozen,17,"1,49",25.33,14.98 TRY,
2026/01/23,R749191,Canned Soup,Canned Goods,2,$1.59,3.18,2.09,Card
23-01-2026,R247383,Soda,Beverages,13,1.07,13.91,7.19,CASH
"Jan 23, 2026",R275599,Soda,Beverages,17,5.9,100.3%,52.92,card
23-01-2026,R516239,Bread,Bakery,18,8.99,161.82,85.91,null
23/01/2026,R838739,Milk,Dairy,5,2.75,13.75 USD,9.57,card
2026/01/23,R339799,Chips,Snacks,2,9.42,18.84,12.22,Mobile
23/01/2026,R608925,Milk,Dairy,12,1.25,15.0,11.80,CASH
01/23/2026,R407669,Soda,Beverages,3,8.29,"24,87",19.51,NA
2026/01/23,R603856,Chips,Snacks,10,1.84,18.40,13.85,
23/01/2026,R848020,Milk,Dairy,20,1.91,38.2,22.77,card
23.01.2026,R507382,Canned Soup,Canned Goods,8,6.84,54.72,31.76,
23/01/26,R733338,Soda,Beverages,6,1.53,9.18,"5,97",Cash
23 Jan 2026,R778956,BREAD,Bakery,20,₺2.01,40.20 EUR,25.97,CASH
01/23/2026,R110651,Frozen Pizza,Frozen,17,6.65,113.05,66.15,card
01/23/2026,R857682,Soda,Beverages,18,9.81,"176,58",92.55,Cash
n/a,R153396,Cereal,Breakfast,16,2.03,32.48,25.08,CASH
23.01.2026,R312995,Canned Soup,Canned Goods,1,9.82,9.82 USD,7.03,Mobile
2026-01-23,R258197,Bread,Bakery,2,9.59,19.18,13.1,Mobile
23/01/2026,R571971,Chips,Snacks,1,£4.96,4.96,2.6%,Cash
n/a,R381188,Milk,Dairy,18,1.25,22.50,15.14,
2026/01/23,R555152,Canned Soup,Canned Goods,4,5.01,n/a,13.71,card
23 Jan 2026,R277810,Milk,Dairy,2,8.03,16.06,12.57,
23/01/2026,R108687,bread,Bakery,18,3.35,60.3,NA,Card
01/23/26,R223544,Frozen Pizza,Frozen,11,7.88,£86.68,"46,12",n/a
-,R612739,Bread,Bakery,19,"8,12",154.28,101.63,Card
23/01/2026,R709930,Bread,Bakery,18,3.02,54.36,28.05,
23.01.2026,R125688,Bread,Bakery,1,3.96,3.96,3.0%,CASH
2026/01/23,R533220,Canned Soup,Canned Goods,4,9.01,36.04,20.69,CASH
23-01-2026,R809245,Canned Soup,Canned Goods,11,6.40,70.40,44.95 USD,card
23.01.2026,R300480,Canned Soup,Canned Goods,3,6.14,18.42,14.67,Cash
2026-01-23,R471429,Chips,Snacks,17,6.87,116.79,66.48,Mobile
23/01/26,R147457,Frozen Pizza,Frozen,3,"6,25",18.75,12.02,Card
"Jan 23, 2026",R500296,Canned Soup,Canned Goods,9,2.74,24.66 TRY,12.89,Mobile
2026/01/23,R932046,Milk,Dairy,1,5.01,5.01,2.89,none
2026-01-23,R114464,Cereal,Breakfast,10,5.07,50.70,39.61,Card
23 Jan 2026,R110248,Frozen Pizza,Frozen,17,8.99,152.83,88.73,card
01/23/2026,R553226,BREAD,Bakery,9,9.07,81.63,53.26,
"Jan 23, 2026",R240190,Soda,Beverages,13,1.31,17.03,13.31,
23 Jan 2026,R367462,Canned Soup,Canned Goods,7,5.68,39.76,"31,76",card
"Jan 23, 2026",R949169,Frozen Pizza,Frozen,16,2.78,44.48,"31,45",Mobile
23 Jan 2026,R153847,Canned Soup,Canned Goods,4,6.02,24.08,"14,67",card
23 Jan 2026,R824484,Milk,Dairy,17,3.8,64.6,50.01,Cash
23-01-2026,R730967,Canned Soup,Canned Goods,17,1.64,27.88,16.77,card
2026/01/24,R356991,Frozen Pizza,Frozen,19,3.01,€57.19,41.58,CASH
01/24/2026,R342429,Chips,Snacks,19,5.65,107.35,£58.46,Cash
2026-01-24,R367725,Cereal,Breakfast,13,5.48 USD,71.24,36.25,
24/01/26,R546408,Bread,Bakery,6,1.33 EUR,7.98,5.34,
24/01/2026,R840187,Chips,Snacks,8,8.23,65.84,35.49,Mobile
24-01-2026,R808267,Canned Soup,Canned Goods,19,8.74,166.06 EUR,85.48,card
01/24/26,R390009,Frozen Pizza,Frozen,12,"4,75",57.0,29.96 EUR,
24-01-2026,R895432,Canned Soup,Canned Goods,8,4.73,37.84,25.0,
01/24/26,R682369,Chips,Snacks,2,3.54,£7.08,4.11,Card
24/01/26,R959243,Bread,Bakery,13,7.83,101.79,72.98,Card
2026-01-24,R649463,Bread,Bakery,10,2.92,29.2,-,CASH
01/24/26,R418757,Cereal,Breakfast,4,6.53 TRY,26.12,17.71,Cash
01/24/2026,R682215,Chips,Snacks,12,6.29,75.48,41.9%,card
24.01.2026,R221422,Frozen Pizza,Frozen,16,7.03,112.48,81.7,
"Jan 24, 2026",R496850,Bread,Bakery,1,7.72,7.72,6.01,Card
"Jan 24, 2026",R444080,Cereal,Breakfast,6,3.64,21.84 TRY,15.46,-
01/24/26,R838648,Cereal,Breakfast,12,₺3.37,"40,44","29,75",null
24/01/26,R137955,Chips,Snacks,19,4.6,87.4,62.73,--
"Jan 24, 2026",R742216,SODA,Beverages,1,2.74,2.74,2.18,
2026/01/24,R446406,Milk,Dairy,20,"2,87",57.4,29.08,CASH
2026/01/24,R568446,Canned Soup,Canned Goods,20,6.37,127.4,98.85 USD,Card
24-01-2026,R879492,MILK,Dairy,15,"7,28",109.2,75.81 EUR,CASH
2026/01/24,R376794,Soda,Beverages,20,4.45,89.00,50.32 TRY,
24 Jan 2026,R610556,Milk,Dairy,18,₺7.34,132.12,101.07,Card
24/01/2026,R411445,Canned  Soup,Canned Goods,17,4.84,82.28,53.64,Card
"Jan 24, 2026",R244396,Milk,Dairy,11,6.26,68.86,49.84,Card
24-01-2026,R740628,soda,Beverages,11,7.5%,82.94,₺53.42,Cash
2026-01-24,R687023,Chips,Snacks,1,3.15,3.15,2.1%,Mobile
01/24/2026,R437965,Soda,Beverages,18,5.45,98.1,"62,56",NULL
"Jan 24, 2026",R170305,Chips,Snacks,20,9.37,187.4,149.91,N/A
24/01/2026,R353535,MILK,Dairy,14,4.66,65.24,"41,22",Card
2026-01-24,R915511,Milk,Dairy,14,2.17,30.38,21.43,
2026-01-24,R667148,Chips,Snacks,10,3.42,34.20,26.9,card
2026-01-24,R472611,Cereal,Breakfast,3,7.31,21.93,,
2026/01/24,R239495,Chips,Snacks,11,1.23,13.53,9.33,Card
"Jan 24, 2026",R570878,Bread,Bakery,9,9.03,81.27 EUR,₺43.63,Mobile
24.01.2026,R368957,Frozen Pizza,Frozen,19,7.68,"145,92",81.6,Cash
24.01.2026,R168502,Chips,Snacks,13,9.67,125.71,66.02,Cash
2026/01/24,R835198,Canned Soup,Canned Goods,10,1.57,15.7,₺10.91,Mobile
24.01.2026,R807648,Soda ,Beverages,10,4.87,48.7,25.28,Card
24.01.2026,R965653,Canned  Soup,Canned Goods,17,6.56,111.52,79.36,CASH
25/01/26,R397507,Cereal,Breakfast,14,2.13,n/a,23.73,NULL
25/01/26,R245286,Chips,Snacks,11,8.62,94.82,54.38,Cash
2026/01/25,R908766,Bread,Bakery,12,7.04,nan,50.23,Cash
01/25/2026,R673623,milk,Dairy,15,2.4,36.00,20.57,CASH
2026-01-25,R993357,Soda,Beverages,1,1.55,1.55,1.2%,
01/25/2026,R126327,Milk,Dairy,19,1.24,23.56,12.05,Card
"Jan 25, 2026",R672905,Frozen Pizza,Frozen,12,7.92,95.04,58.0,-
"Jan 25, 2026",R673513,Cereal,Breakfast,8,6.35,50.8,34.58,
25/01/26,R731777,Milk,Dairy,17,9.46,160.82,"81,14",Mobile
25.01.2026,R458059,Cereal,Breakfast,12,6.68,80.16,54.23,
25/01/26,R573955,Milk,Dairy,11,7.11,78.21,47.95,
25.01.2026,R318268,Bread,Bakery,19,5.97,113.43 EUR,57.8,Cash
25-01-2026,R766318,Frozen Pizza,Frozen,13,8.43,109.59 USD,85.03,Cash
25 Jan 2026,R748423,Bread,Bakery,18,"6,87",123.66,89.62,Mobile
25-01-2026,R463402,soda,Beverages,5,9.04,45.2,23.72,card
01/25/2026,R194979,Chips,Snacks,12,"2,22","26,64",18.92,nan
none,R255574,Canned Soup,Canned Goods,2,1.53,3.06,2.41,card
-,R164284,Frozen Pizza,Frozen,8,1.87,14.96,9.68,card
2026-01-25,R628254,Frozen Pizza,Frozen,8,5.42,43.36,27.57,Card
25 Jan 2026,R876154,Chips,Snacks,20,8.29,165.8,124.27,CASH
25.01.2026,R905528,Frozen Pizza,Frozen,12,5.09,61.08,37.22,Mobile
25 Jan 2026,R429765,Canned Soup ,Canned Goods,3,8.5,25.5,12.91,
"Jan 25, 2026",R466491,Bread,Bakery,18,1.04,18.72,$11.13,Cash
25/01/2026,R593989,Chips,Snacks,12,2.82,33.84,24.12,Card
25/01/26,R903913,Milk,Dairy,7,1.47,$10.29,7.75,Card
2026-01-25,R417283,Cereal,Breakfast,9,5.98,53.82,42.63,null
25/01/2026,R100829,Milk,Dairy,2,4.58,9.16,5.46,Mobile
25/01/2026,R176222,Bread ,Bakery,15,9.99,149.85,115.4%,NULL
25.01.2026,R548508,Bread,Bakery,13,5.81,75.53,49.68,CASH
"Jan 25, 2026",R950648,Soda,Beverages,7,6.72,£47.04,27.64,Mobile
01/25/26,R470082,Frozen Pizza,Frozen,19,€4.37,83.03,51.18,Mobile
25.01.2026,R611352,Bread,Bakery,15,8.16,122.40,90.97,Card
25-01-2026,R341281,Milk,Dairy,11,7.46,82.06,51.33,Mobile
25/01/26,R191319,Canned Soup,Canned Goods,10,1.82,18.2,9.79,card
25-01-2026,R527202,Frozen Pizza,Frozen,14,4.58,64.12,44.79,CASH
25.01.2026,R198666,Chips,Snacks,17,1.55,26.35,21.05,card
25 Jan 2026,R653928,Chips,Snacks,13,2.3,29.9,22.13,Mobile
01/25/2026,R559358,Soda,Beverages,17,5.3%,90.95,$61.96,n/a
25.01.2026,R373924,Milk,Dairy,8,1.92 EUR,15.36,N/A,card
25/01/2026,R599818,Chips,Snacks,14,4.07,56.98,31.6,card
--,R372437,Chips,Snacks,4,3.23,nan,9.13,Mobile
25 Jan 2026,R148719,Frozen Pizza,Frozen,17,9.59,163.03,105.22,Cash
25/01/26,R662824,Cereal ,Breakfast,8,2.77,22.16,15.11,CASH
25/01/2026,R134186,Bread,Bakery,7,8.92,62.44 EUR,46.34,Mobile
2026/01/25,R645026,Soda,Beverages,15,8.78,131.7,88.3,Card
01/25/26,R104713,Canned Soup,Canned Goods,1,7.07 EUR,7.07,3.82,CASH
2026-01-25,R521900,Bread,Bakery,15,3.54,n/a,34.32,Card
"Jan 25, 2026",R235785,Bread,Bakery,20,€6.56,131.2,80.91,Mobile
25/01/2026,R651216,Milk,Dairy,8,5.95,47.6,29.3,Cash
01/25/2026,R153599,Canned Soup,Canned Goods,1,1.06,"1,06",0.61,Card
25 Jan 2026,R275463,milk,Dairy,1,5.09,5.09,2.64,card
01/25/26,R795366,Bread ,Bakery,12,8.66,103.92,73.68,card
25.01.2026,R745677,Frozen Pizza,Frozen,20,"3,77",75.40,₺56.28,nan
25 Jan 2026,R786601,Canned Soup,Canned Goods,3,"1,48",4.44,2.4%,Mobile
01/25/26,R529267,Canned  Soup,Canned Goods,20,1.9%,37.6,23.7,Mobile
01/25/2026,R783758,Canned Soup,Canned Goods,20,7.02,140.4,72.61,
01/25/2026,R638258,Canned Soup,Canned Goods,17,6.54,111.2%,79.96,Cash
25/01/26,R981109,Cereal,Breakfast,17,3.71,63.07,45.51,card
2026/01/25,R568046,Frozen Pizza,Frozen,6,9.89,59.34,44.41,none
01/25/26,R864327,Milk,Dairy,20,2.16,43.2,26.06,CASH
2026/01/25,R221728,Soda,Beverages,18,2.0,£36.00,26.43,Card
25/01/26,R602482,Bread,Bakery,13,9.07,117.91,74.8%,Card
-,R361982,Chips,Snacks,13,3.19,"41,47",31.91,Cash
NA,R599890,Chips,Snacks,10,6.65,66.5,46.71,Card
"Jan 25, 2026",R477403,Chips,Snacks,8,2.93,23.44,17.18,card
26 Jan 2026,R424932,Milk,Dairy,11,5.58,61.38,40.95,card
26/01/26,R466080,canned soup,Canned Goods,16,2.0,32.0%,16.43,CASH
2026-01-26,R548160,Frozen Pizza,Frozen,17,3.58,60.86,38.74,NULL
01/26/26,R649968,Soda,Beverages,4,8.67,34.68,22.78 EUR,CASH
26/01/2026,R848503,Frozen Pizza,Frozen,7,3.22,22.54,17.57,Cash
26.01.2026,R334201,Chips,Snacks,15,3.65,54.75,40.81,Card
26/01/26,R797620,Canned Soup,Canned Goods,9,5.23,47.07,"37,64",Mobile
01/26/26,R871809,Chips ,Snacks,13,3.76,48.88,35.10,Mobile
26.01.2026,R452332,Bread,Bakery,11,2.7%,30.14,15.66,nan
"Jan 26, 2026",R319891,  Canned Soup  ,Canned Goods,15,4.81,72.15,43.02,card
26/01/26,R158504,Frozen Pizza,Frozen,8,4.14,"33,12",25.69,Card
26.01.2026,R725925,Milk ,Dairy,10,4.13,41.30,31.02,CASH
2026-01-26,R919121,Chips,Snacks,7,2.2,15.40,10.94,Cash
26 Jan 2026,R769324,Chips ,Snacks,13,3.09,40.17,23.66,card
26/01/2026,R597913,CANNED SOUP,Canned Goods,16,1.34,21.4%,11.82,CASH
"Jan 26, 2026",R261234,Frozen Pizza,Frozen,13,9.31,121.03,73.8,CASH
01/26/26,R117830,soda,Beverages,2,9.02,18.04,14.04,Cash
2026/01/26,R475086,Frozen Pizza,Frozen,17,9.21 USD,€156.57,84.64,Card
01/26/26,R687775,Canned Soup ,Canned Goods,12,6.31,75.72,39.3,
2026-01-26,R706082,Soda,Beverages,12,5.39,NA,50.95,card
01/26/26,R902505,Bread,Bakery,10,3.27,32.70,25.0%,NONE
26.01.2026,R290506,FROZEN PIZZA,Frozen,2,6.81,13.62,8.13,Card
26 Jan 2026,R895659,Bread,Bakery,2,4.59,9.18,6.49,Mobile
01/26/2026,R326804,Canned Soup,Canned Goods,3,7.86,23.58,17.43,Cash
NULL,R824929,Frozen  Pizza,Frozen,4,3.43,13.72,£9.81,Card
01/26/26,R200540,Bread,Bakery,1,1.25,1.25,£0.70,
26 Jan 2026,R399763,Milk ,Dairy,11,3.07 EUR,33.77,18.52,card
26-01-2026,R349017,Canned Soup,Canned Goods,20,8.81,NULL,--,
26-01-2026,R550176,MILK,Dairy,16,9.54,152.64,117.99,Mobile
26/01/26,R263787,Soda,Beverages,11,8.3,91.3,63.96,Mobile
26 Jan 2026,R251569,Milk,Dairy,20,2.44,"48,80",27.1%,
2026/01/26,R268194,BREAD,Bakery,19,8.76,166.44,97.76,Cash
-,R263859,Soda,Beverages,12,4.49,53.88,37.86,CASH
"Jan 26, 2026",R633163,Canned Soup,Canned Goods,7,2.77,19.4%,15.25,Card
2026/01/26,R698089,Canned Soup,Canned Goods,12,8.09,97.08,"50,86",CASH
26/01/26,R965917,Canned Soup,Canned Goods,6,4.11 USD,€24.66,19.06,
26/01/26,R769017,Frozen Pizza,Frozen,15,3.57,53.55,"38,33",-
26.01.2026,R756304,Canned Soup,Canned Goods,5,6.98,34.9,18.91,Mobile
26/01/26,R127441,Frozen Pizza,Frozen,2,9.03,18.06,13.77,card
26-01-2026,R849887,Canned Soup,Canned Goods,9,9.55,85.95,"62,03",none
26-01-2026,R601697,SODA,Beverages,9,8.65,77.85,"56,03",nan
2026/01/26,R352465,Cereal,Breakfast,9,2.71,24.39,13.07,
27 Jan 2026,R404581,Bread,Bakery,6,2.47,14.82,9.03 EUR,card
27.01.2026,R649151,Canned Soup,Canned Goods,14,6.65,93.1,70.82,Card
27/01/2026,R966780,Soda ,Beverages,13,6.45,83.85,49.4,CASH
27-01-2026,R117066,Frozen Pizza,Frozen,2,4.95,9.9,7.02,CASH
2026/01/27,R924019,Chips,Snacks,10,1.51,15.1,8.75,Cash
27-01-2026,R462349,Soda,Beverages,17,5.62,95.54,63.52,Cash
2026/01/27,R228098,Soda,Beverages,13,1.19,₺15.47,9.36,card
2026/01/27,R110923,Chips,Snacks,6,8.79,"52,74",33.82,Mobile
2026-01-27,R672250,Frozen Pizza,Frozen,16,2.68,42.88,25.53,Card
2026/01/27,R902948,Soda,Beverages,11,8.32,91.52,66.29,Mobile
01/27/26,R740844,Cereal,Breakfast,8,4.67,"37,36",19.79,none
"Jan 27, 2026",R999280,Bread,Bakery,6,8.51,51.06,38.73,Card
-,R547084,Frozen Pizza,Frozen,3,4.02,12.06,8.17,NONE
01/27/2026,R692997,Milk,Dairy,16,3.19,51.04,39.86,Cash
2026-01-27,R617125,Milk,Dairy,15,2.34,35.10,20.4,card
2026-01-27,R689223,MILK,Dairy,9,9.65,86.85,"56,54",card
27/01/26,R538802,Cereal,Breakfast,14,£4.47,$62.58,46.85,Cash
"Jan 27, 2026",R510077,Chips,Snacks,4,"9,80",39.20,29.61,Mobile
NONE,R471427,Milk,Dairy,14,1.2%,"16,66",10.97,card
NONE,R552020,Bread,Bakery,2,"4,06",8.12,£6.30,n/a
01/27/26,R739652,Soda,Beverages,3,6.27,18.81,13.63,Mobile
27-01-2026,R240438,Chips,Snacks,13,1.83,23.79,12.73,CASH
2026-01-27,R392633,Bread,Bakery,15,4.98,74.7,49.98,Mobile
27/01/26,R359826,Soda,Beverages,7,7.64,53.48,28.43,CASH
27-01-2026,R909523,Chips,Snacks,2,9.16,18.32,14.36,card
,R317567,Bread,Bakery,11,3.23,N/A,₺24.81,
01/27/26,R125782,Bread,Bakery,1,2.04,2.04,1.17,Cash
2026-01-27,R394331,Soda,Beverages,16,7.34,117.44,77.56,CASH
"Jan 27, 2026",R238657,Canned Soup,Canned Goods,10,7.7,77.0,54.81,card
27/01/2026,R841647,Bread,Bakery,11,3.42,37.62,£26.13,
27.01.2026,R469389,  Soda  ,Beverages,13,5.87,76.31,56.66,
27-01-2026,R496091,Bread,Bakery,18,1.38,24.84 EUR,"14,16",Mobile
27-01-2026,R785689,Frozen Pizza,Frozen,2,6.58,13.16,9.92 TRY,Cash
27/01/2026,R432760,FROZEN PIZZA,Frozen,19,1.14 TRY,21.66,11.86,card
01/27/26,R567433,Bread,Bakery,14,5.43,76.02,54.78,-
2026-01-27,R758457,Milk,Dairy,10,2.16,21.6,13.19,Mobile
27/01/26,R225623,Frozen Pizza,Frozen,10,"6,63",66.30,33.5,
27-01-2026,R123235,Soda,Beverages,20,5.78,115.60,92.36,NULL
27-01-2026,R350345,Chips,Snacks,20,8.18,163.60,86.92,CASH
27.01.2026,R782208,Soda,Beverages,11,1.63,17.93,12.23,
2026-01-27,R564816,Frozen Pizza,Frozen,10,2.3,23.0,$13.92,Cash
27-01-2026,R511524,Chips,Snacks,15,8.8%,132.0%,79.23,Mobile
01/27/26,R431337,Milk,Dairy,7,9.98,69.86,36.4%,Mobile
27/01/26,R269830,Frozen Pizza,Frozen,3,6.77,20.31,13.25,CASH
,R164384,Frozen Pizza,Frozen,12,7.70,92.40,59.34 TRY,CASH
27/01/26,R361521,Canned Soup,Canned Goods,5,3.95,19.75,13.88,-
27/01/26,R778944,Canned Soup,Canned Goods,16,5.30 USD,€84.80,52.13,Cash
2026/01/27,R898640,Chips,Snacks,12,8.18,98.16,68.07,card
2026/01/27,R348368,Frozen Pizza,Frozen,9,1.12,10.08,7.4,CASH
01/27/26,R793704,Soda,Beverages,6,2.63,15.78,8.12,Mobile
27/01/26,R666413,Frozen Pizza,Frozen,1,1.61,1.61,1.08,CASH
NA,R749986,Frozen Pizza,Frozen,5,8.8,44.0%,28.86,Card
27/01/26,R650667,Chips,Snacks,8,5.94,47.52,28.19,CASH
01/27/2026,R422271,Frozen Pizza,Frozen,20,7.4,148.0,98.77,Mobile
01/27/2026,R168134,Chips,Snacks,4,2.0,8.0,5.07,N/A
27 Jan 2026,R545814,Milk,Dairy,13,9.39,122.07 USD,91.97,Mobile
27 Jan 2026,R280662,Cereal,Breakfast,4,4.82,19.28,11.44,card
"Jan 27, 2026",R207479,Bread,Bakery,17,2.25,38.25,22.71,card
2026-01-27,R127150,Chips,Snacks,3,6.74,20.22,13.26 TRY,Card
2026/01/27,R643051,Milk,Dairy,10,7.83,78.3,44.38,Cash
--,R595088,Cereal,Breakfast,6,9.54,57.24,38.19,--
2026-01-27,R996794,Frozen Pizza,Frozen,20,2.78,55.60,"42,32",Card
"Jan 27, 2026",R443414,Soda,Beverages,8,3.19,25.52,19.79,CASH
"Jan 27, 2026",R101953,Canned Soup,Canned Goods,3,3.63,10.89,7.37,Cash
"Jan 27, 2026",R746004,Canned Soup,Canned Goods,5,4.33,21.65,12.10,NULL
-,R303410,Frozen Pizza,Frozen,8,4.93,39.44,24.85,Cash
01/27/26,R246944,Cereal,Breakfast,14,8.73,122.22,89.03,CASH
01/27/2026,R162656,Bread,Bakery,20,8.47,"169,40",98.24,card
2026-01-27,R918943,Frozen Pizza,Frozen,7,€5.52,$38.64,20.88,Cash
27-01-2026,R139973,Cereal,Breakfast,12,6.6,79.2,61.94,card
27.01.2026,R321483,Cereal,Breakfast,1,1.06,1.06,0.84,Cash
01/27/26,R236370,Chips,Snacks,1,9.24,9.24,6.0%,Mobile
27 Jan 2026,R407014,Cereal,Breakfast,16,6.36,101.76,80.45,NA
27/01/26,R114252,Chips,Snacks,11,9.59,105.5%,NA,Cash
2026-01-27,R991554,Soda,Beverages,7,9.91,69.37,"43,35",Card
27.01.2026,R810052,Bread,Bakery,4,4.34,17.36,10.42,card
-,R389695,Canned Soup,Canned Goods,18,7.68,138.24,92.41,card
27.01.2026,R204587,Frozen  Pizza,Frozen,11,3.9,42.90,34.08,card
nan,R477771,  Canned Soup  ,Canned Goods,7,4.33,30.31,20.31,Mobile
01/27/2026,R442425,Cereal,Breakfast,11,"7,09",77.99,n/a,Mobile
01/28/2026,R154256,Canned Soup,Canned Goods,11,5.36,58.96,--,Card
2026-01-28,R857917,Canned Soup,Canned Goods,18,4.69,84.4%,58.48,N/A
28/01/26,R959571,Frozen Pizza,Frozen,4,9.32,37.28,18.80,Cash
01/28/2026,R433789,Frozen Pizza,Frozen,4,7.51,30.04,21.97,CASH
28/01/2026,R981167,MILK,Dairy,19,4.47,84.93,50.7,
2026-01-28,R728004,Frozen Pizza,Frozen,5,2.09,10.45 EUR,5.68,CASH
2026-01-28,R101935,SODA,Beverages,5,9.38,46.90,29.24,Cash
28/01/26,R862293,Frozen Pizza,Frozen,7,2.97,20.79 TRY,14.7%,Card
28-01-2026,R637330,Milk,Dairy,13,5.54,72.02,38.16,Mobile
28/01/2026,R557171,Cereal,Breakfast,19,8.01,152.19,76.72,Card
2026/01/28,R711327,chips,Snacks,5,3.98,19.9,12.61,Cash
2026/01/28,R275601,Frozen Pizza,Frozen,15,9.15,137.25,92.2%,CASH
01/28/2026,R747200,Soda,Beverages,8,6.64,"53,12",28.80 TRY,Mobile
28-01-2026,R211872,Milk,Dairy,13,3.83,49.79,26.48,n/a
28.01.2026,R973293,Cereal,Breakfast,13,2.23,28.99,N/A,Cash
"Jan 28, 2026",R597294,Bread,Bakery,10,3.24,32.4,22.4%,Mobile
2026/01/28,R522413,Milk,Dairy,14,1.48,20.72,12.26,card
28 Jan 2026,R630610,Chips,Snacks,10,1.7,17.00 TRY,9.58,Card
"Jan 28, 2026",R954127,Chips,Snacks,4,9.2%,36.8%,25.2,null
28/01/2026,R552335,Bread,Bakery,10,€2.28,"22,80",17.94,Cash
01/28/26,R446556,Frozen Pizza,Frozen,20,8.92,178.4,114.44,
01/28/2026,R521887,Cereal,Breakfast,4,2.06,8.24,5.34,
"Jan 28, 2026",R463222,Milk,Dairy,13,8.83,114.79,82.32,card
28/01/26,R731642,Canned Soup,Canned Goods,1,4.21 TRY,4.21,2.98,--
"Jan 28, 2026",R222397,  Soda  ,Beverages,10,9.43,94.3,59.64,-
01/28/2026,R585294,Bread,Bakery,14,1.61,22.54,12.41 EUR,Mobile
28-01-2026,R929570,Frozen Pizza,Frozen,8,6.78,54.24,37.54,NONE
28.01.2026,R761559,Frozen Pizza,Frozen,12,4.09,49.08,30.99,card
28/01/26,R474737,Soda,Beverages,7,1.24,8.68,4.39 USD,Mobile
28 Jan 2026,R422997,Frozen Pizza,Frozen,5,3.32,£16.60,10.13 EUR,Card
null,R494255,Cereal,Breakfast,9,$2.94,26.46,none,card
2026-01-28,R157614,Frozen Pizza,Frozen,2,9.59,19.18,14.63,card
28 Jan 2026,R758889,Milk,Dairy,4,7.61,30.44,NONE,card
nan,R278928,  Cereal  ,Breakfast,11,9.24,101.6%,66.67,
28 Jan 2026,R595742,Chips,Snacks,16,$4.64,74.24,37.88,CASH
2026-01-28,R400733,Milk,Dairy,19,4.67,88.73,53.34,Cash
"Jan 28, 2026",R407292,Cereal,Breakfast,2,9.39,18.78 EUR,11.97,Card
28/01/26,R160139,Chips,Snacks,2,1.74,3.48,2.55,
"Jan 28, 2026",R451719,cereal,Breakfast,7,1.3,9.1,5.51,Card
28/01/2026,R515253,Cereal,Breakfast,17,8.22,£139.74,86.54,Mobile
2026-01-28,R427019,Soda,Beverages,11,6.68 USD,73.48,39.60,
28.01.2026,R308046,Chips,Snacks,3,1.45,4.35,3.43,
01/28/2026,R889587,Cereal,Breakfast,2,2.5,5.0,"3,49",Card
28-01-2026,R284488,Frozen Pizza,Frozen,9,7.9%,71.46,56.79,CASH
01/28/2026,R899811,Frozen Pizza ,Frozen,13,5.37,69.81 TRY,₺36.40,card
01/28/2026,R267643,Canned Soup,Canned Goods,5,9.32,46.60 EUR,26.75,CASH
28/01/26,R310787,Cereal,Breakfast,12,8.57,NA,79.13,Mobile
"Jan 28, 2026",R717444,Cereal,Breakfast,7,₺5.25,36.75,20.78,
2026-01-28,R748850,Soda,Beverages,8,1.46,11.68,"6,01",CASH
01/28/2026,R818524,Milk,Dairy,8,5.07 EUR,40.56,21.34,
28/01/26,R324674,frozen pizza,Frozen,17,6.6,₺112.20,85.52,card
2026-01-28,R728934,Bread,Bakery,16,2.56,41.0%,31.74,
