WHOLESALE SALES REPORT,,,,,,,,,,
Period: Jan-Jun 2026,,,,,,,,,,
,,,,,,,,,,
Date,Invoice #,Customer Name,Product,Qty,Unit Price,Amount,Cost,,Notes,Amount
none,INV-360316,Small Dealer Co,Gadget Pro,160,261.37,41819.2,30130.42,,n/a,41819.2
05-02-2026,INV-976960,MEGAMART CORP,Budget Widget,112,208.64,"23,367.68","18.817,26",,,"23,367.68"
05/02/26,INV-393880,BigBuy  Distribution,Gadget Lite,49,238.1,11666.9,7349.79,,rush order,11666.9
05 Feb 2026,INV-709231,SuperStore Inc,Gadget Pro,157,55.91,8777.9%,"₺6,420.43",,,8777.9%
02/05/2026,INV-699166,BigBuy Distribution,Premium Widget,102,191.58,19541.16,"₺12,993.41",,,19541.16
2026/02/05,INV-923481,SuperStore Inc,Standard Widget,35,221.83,"₺7,764.05",6219.17,,nan,"₺7,764.05"
N/A,INV-468145,BIGBUY DISTRIBUTION,Budget Widget ,153,260.38,"39,838.14",24378.0%,,,"39,838.14"
2026/02/06,INV-542306,SuperStore Inc ,gadget lite,157,181.25,28456.25,"21,691.71 USD",,,28456.25
06 Feb 2026,INV-275445,Small Dealer Co,Gadget Lite,28,42.15,1180.2,809.51,,NONE,1180.2
06/02/2026,INV-208976,MegaMart Corp,Standard Widget,42,223.78,"₺9,398.76","7,194.80",,-,"₺9,398.76"
06/02/26,INV-385647,SuperStore Inc,budget widget,31,203.35,NONE,5177.78,,,NONE
06/02/2026,INV-563324,  Small Dealer Co  ,Gadget Lite,44,291.47,12824.68,9931.51,,,12824.68
06.02.2026,INV-726003,BigBuy Distribution ,Budget Widget,115,92.75,"10,666.25",7209.25,,,"10,666.25"
06/02/26,INV-948097,MegaMart Corp,Standard Widget,150,124.62,18 693.00,13139.94,,rush order,18 693.00
06-02-2026,INV-194578,Small  Dealer  Co,Budget Widget,58,258.97,N/A,"$9,697.11",,,N/A
06.02.2026,INV-956949,MegaMart Corp,Standard Widget,136,80.81,10990.16,"$7,748.73",,,10990.16
02/07/2026,INV-759726,MegaMart Corp,Premium Widget,192,89.71,"17,224.32 TRY",13655.55,,rush order,"17,224.32 TRY"
2026-02-07,INV-144033,MegaMart Corp,Premium  Widget,74,154.74,"11,450.76",7 725.87,,,"11,450.76"
2026/02/07,INV-685472,SMALL DEALER CO,Gadget Lite,186,186.94,34770.84,24090.96,,,34770.84
02/07/26,INV-681456,Small Dealer Co,Budget Widget,197,74.03,"14,583.91 TRY","11,263.34 USD",,rush order,"14,583.91 TRY"
07/02/2026,INV-790266,megamart corp,Standard Widget,145,63.41,9194.45,6196.31,,,9194.45
07-02-2026,INV-203550,Small Dealer Co,Gadget Lite,58,166.74,9670.9%,"7,005.49",,,9670.9%
07 Feb 2026,INV-961957,Small Dealer Co,PREMIUM WIDGET,178,157.17,27976.26,"21.149,85",,,27976.26
07/02/26,INV-535352,megamart corp,BUDGET WIDGET,167,94.43,15769.81,"9.622,16",,,15769.81
2026/02/07,INV-985893,BigBuy Distribution,PREMIUM WIDGET,182,148.44,27016.08,20702.71,,,27016.08
02/08/26,INV-117094,Small Dealer Co,Gadget Pro,195,110.57,21561.15,14234.25,,,21561.15
"Feb 08, 2026",INV-472932,superstore inc,Gadget Lite ,87,21.84,1900.08,1607.66,,,1900.08
02/08/26,INV-959324,SuperStore Inc ,Standard Widget,77,122.78,9454.06,7048.37,,,9454.06
08 Feb 2026,INV-156757,BigBuy Distribution,Premium Widget,19,224.62,4 267.78,"3,175.53",,,4 267.78
08 Feb 2026,INV-255202,MegaMart Corp,Budget Widget,91,171.18,15577.38,9928.94,,,15577.38
08-02-2026,INV-688426,BigBuy Distribution,Standard Widget,31,153.24,4750.44,3735.41,,,4750.44
02/08/26,INV-961493,SuperStore Inc,Gadget Lite,72,40.06,2 884.32,2290.7%,,,2 884.32
08/02/2026,INV-419939,superstore inc,Gadget  Pro,122,32.57,3973.54,3196.88,,,3973.54
null,INV-163029,  MegaMart Corp  ,Gadget Pro,94,78.52,7380.88,5421.27,,-,7380.88
09 Feb 2026,INV-633243,SuperStore Inc,Budget Widget,188,193.03,36289.64,22255.4,,,36289.64
2026-02-09,INV-463625,  BigBuy Distribution  ,Premium Widget,134,262.7,35201.8,25799.05,,,35201.8
09 Feb 2026,INV-788842,BigBuy Distribution,Budget Widget,170,104.65,17790.5,n/a,,,17790.5
02/09/2026,INV-709254,MegaMart Corp,Standard Widget,196,127.02,"24.895,92",20916.34,,--,"24.895,92"
09 Feb 2026,INV-531228,SuperStore Inc,Gadget Lite ,45,106.52,"£4,793.40","3,721.04",,,"£4,793.40"
"Feb 09, 2026",INV-240600,Small Dealer Co,Budget Widget ,200,281.46,"€56,292.00","46,358.29",,,"€56,292.00"
09/02/2026,INV-285679,Small Dealer Co,Gadget Lite,192,201.88,"38.760,96",25039.35,,,"38.760,96"
2026-02-09,INV-645940,Small Dealer Co,Gadget Pro,186,110.97,20640.42,14745.23,,NA,20640.42
09.02.2026,INV-583757,Small Dealer Co,Premium Widget,126,251.56,31696.56,none,,,31696.56
2026/02/10,INV-572788,BigBuy Distribution,Gadget Pro,166,277.33,46036.78,"35,562.87",,,46036.78
10/02/2026,INV-649262,Superstore Inc,premium widget,126,185.29,23346.54,18167.31,,,23346.54
10/02/2026,INV-237962,superstore inc,Gadget Pro,106,174.1,18454.6,"€11,275.33",,rush order,18454.6
02/10/26,INV-729252,MegaMart Corp,Standard Widget,169,234.31,39598.39,23879.89,,,39598.39
02/10/2026,INV-269172,SuperStore Inc,PREMIUM WIDGET,150,97.87,14680.5%,11115.47,,,14680.5%
11.02.2026,INV-445200,SuperStore Inc ,gadget lite,126,229.81,28956.06,19981.05,,,28956.06
2026/02/11,INV-372273,  Small Dealer Co  ,Gadget Lite,144,78.76,11341.44,7397.6,,,11341.44
11/02/2026,INV-873291,BigBuy Distribution,Gadget Lite,43,192.0,8256.0,5978.16,,,8256.0
2026/02/11,INV-515287,Small Dealer Co,Standard  Widget,115,32.74,"3,765.10","2,588.18",,VIP,"3,765.10"
11 Feb 2026,INV-878656,MegaMart Corp,Gadget Lite,54,74.32,4013.28,3244.56,,,4013.28
11 Feb 2026,INV-296481,BigBuy Distribution,Premium  Widget,154,222.99,34340.5%,"£23,312.90",,,34340.5%
"Feb 11, 2026",INV-624344,Megamart Corp,GADGET LITE,88,217.47,"19,137.36",NULL,,,"19,137.36"
02/12/26,INV-191305,BigBuy Distribution,Standard Widget ,133,225.08,"€29,935.64",21880.17,,rush order,"€29,935.64"
02/12/2026,INV-386929,Small Dealer Co,Budget Widget ,21,48.87,"1.026,27","812,34",,VIP,"1.026,27"
2026-02-12,INV-593602,MegaMart Corp,Premium Widget,169,176.7,"29,862.30",18681.67,,,"29,862.30"
"Feb 12, 2026",INV-695370,  MegaMart Corp  ,Premium Widget,108,35.06,3786.48,2675.59,,NULL,3786.48
2026/02/12,INV-927094,MegaMart Corp,Standard Widget,188,151.12,"28.410,56",20282.19,,,"28.410,56"
13/02/2026,INV-930924,Small Dealer Co,Gadget Pro,17,38.3,651.1%,409.04,,,651.1%
13/02/2026,INV-875282,SMALL DEALER CO,Budget Widget,112,185.35,20759.2%,13 693.68,,,20759.2%
2026-02-13,INV-194930,Small Dealer Co,Gadget Lite,39,185.81,7 246.59,"5,186.58",,,7 246.59
13 Feb 2026,INV-852658,SUPERSTORE INC,Standard Widget,158,272.91,"43,119.78","32,729.34 USD",,rush order,"43,119.78"
13 Feb 2026,INV-525756,MegaMart Corp,budget widget,159,22.27,3540.93,-,,,3540.93
2026-02-13,INV-250990,  Small Dealer Co  ,Gadget Pro,149,79.14,11791.86,7586.32,,,11791.86
13-02-2026,INV-294816,Small Dealer Co,Gadget Pro,44,43.71,1923.24,1462.74,,,1923.24
13/02/26,INV-887042,MegaMart Corp,  Gadget Pro  ,157,159.48,25038.36,19598.23,,VIP,25038.36
"Feb 14, 2026",INV-701846,MegaMart Corp,Gadget Pro,143,269.18,38492.74,"23,946.78",,,38492.74
02/14/26,INV-128624,Small Dealer Co,Budget Widget,100,288.96,28896.0,"23,103.96",,rush order,28896.0
02/14/2026,INV-373943,Small Dealer Co,  Budget Widget  ,31,55.51,"1,720.81","1,065.55",,,"1,720.81"
02/14/2026,INV-321099,Small Dealer Co,STANDARD WIDGET,56,243.82,13653.92,11134.82,,,13653.92
14/02/26,INV-555851,BIGBUY DISTRIBUTION,Gadget Lite,23,199.83,"4,596.09 TRY",3625.72,,,"4,596.09 TRY"
14/02/2026,INV-367747,BigBuy Distribution,Premium Widget,124,126.96,15743.0%,10688.3,,rush order,15743.0%
14/02/26,INV-208954,Small Dealer Co,Gadget Lite,128,236.48,30269.4%,,,,30269.4%
02/15/2026,INV-494220,SuperStore Inc,  Budget Widget  ,195,99.32,19367.4,12555.3,,VIP,19367.4
15/02/2026,INV-390756,SuperStore Inc,Gadget Lite,38,214.78,8161.64,5413.89,,rush order,8161.64
15/02/2026,INV-563031,Small Dealer Co,Premium Widget,109,113.14,"12.332,26",7584.52,,,"12.332,26"
"Feb 15, 2026",INV-601365,Megamart Corp,Budget Widget,18,40.42,727.56,540.46,,,727.56
2026/02/15,INV-184365,Small Dealer Co,Gadget  Pro,196,238.66,46777.36,37250.9%,,VIP,46777.36
02/15/2026,INV-137432,BigBuy Distribution,Gadget Pro,175,76.87,13 452.25,9936.09,,,13 452.25
15/02/26,INV-580636,MegaMart Corp,Standard Widget,194,298.99,58004.06,"38,260.71 USD",,,58004.06
02/15/26,INV-167064,SUPERSTORE INC,Gadget Lite,199,182.22,none,"$30,140.93",,,none
15-02-2026,INV-901351,MEGAMART CORP,Premium Widget,137,186.59,25562.83,19272.0,,NA,25562.83
--,INV-184643,SuperStore Inc,premium widget,95,37.7,3581.5,2394.14,,,3581.5
02/16/26,INV-825272,SuperStore  Inc,Premium Widget,32,217.89,6972.48,5218.43,,,6972.48
16/02/26,INV-632195,SuperStore Inc,Premium Widget,193,159.97,30874.21,25859.45,,,30874.21
02/16/26,INV-944264,Small Dealer Co ,Standard Widget ,170,204.61,nan,"€23,274.00",,,nan
17/02/2026,INV-441974,MegaMart Corp,Premium Widget,199,34.69,"6.903,31",5069.38,,,"6.903,31"
17-02-2026,INV-762722,MegaMart Corp,Standard Widget,70,226.57,15859.9,12 965.02,,,15859.9
17/02/26,INV-996536,BigBuy Distribution,Budget Widget,61,114.05,6957.05,"£4,230.05",,,6957.05
02/17/26,INV-256206,MegaMart Corp,Standard Widget,115,259.95,29894.25,21 592.72,,,29894.25
02/17/2026,INV-475815,MegaMart Corp,Gadget Lite,116,294.45,34 156.20,"20,835.78",,,34 156.20
2026/02/17,INV-757258,SuperStore Inc,Budget Widget,175,299.71,52449.25,31678.43,,,52449.25
2026/02/17,INV-871501,MegaMart Corp,Gadget Pro,170,39.8,6766.0,5570.84,,VIP,6766.0
02/17/26,INV-836984,BigBuy Distribution,Premium Widget,23,51.07,"1,174.61",812.12,,VIP,"1,174.61"
2026/02/17,INV-938759,SuperStore Inc,Standard Widget,92,118.76,"10,925.92 EUR",7285.83,,rush order,"10,925.92 EUR"
"Feb 17, 2026",INV-463541,SuperStore Inc,premium widget,127,44.45,"₺5,645.15","3.938,46",,nan,"₺5,645.15"
"Feb 18, 2026",INV-580255,MegaMart Corp,Gadget Pro,84,72.94,6126.96,3709.9%,,nan,6126.96
02/18/2026,INV-980103,SuperStore Inc,Budget Widget,88,68.09,5991.92,3984.6%,,null,5991.92
02/18/2026,INV-659565,SuperStore Inc,Standard Widget,70,52.74,"3.691,80",3132.28,,,"3.691,80"
"Feb 18, 2026",INV-455136,Megamart Corp,Budget Widget,16,133.28,2132.5%,1545.74,,,2132.5%
18.02.2026,INV-305222,Small Dealer Co,Premium Widget,20,59.04,1180.8,871.12,,,1180.8
18 Feb 2026,INV-487585,MegaMart Corp,Premium Widget,147,257.85,"37,903.95 EUR",29158.21,,,"37,903.95 EUR"
02/18/26,INV-726981,BigBuy Distribution,Gadget Pro,13,99.7,"1,296.10 TRY",891.51,,,"1,296.10 TRY"
02/18/26,INV-891930,SuperStore Inc,Premium Widget,63,104.9,nan,5598.2,,,nan
18.02.2026,INV-537420,SuperStore Inc,Standard Widget,57,253.04,none,"9,697.72 USD",,,none
02/19/26,INV-118397,SuperStore Inc,Gadget  Pro,17,53.42,908.14 TRY,607.82,,,908.14 TRY
02/19/2026,INV-901834,SuperStore Inc,BUDGET WIDGET,158,36.38,5748.0%,3908.2%,,N/A,5748.0%
02/19/2026,INV-207392,SuperStore Inc,Premium Widget,149,110.33,n/a,11163.1%,,,n/a
19/02/2026,INV-222227,SuperStore Inc,Standard Widget,138,81.91,11303.58,7314.59,,,11303.58
02/19/2026,INV-821469,Megamart Corp,Standard Widget,132,117.5,15510.0,N/A,,,15510.0
2026-02-20,INV-169465,SuperStore Inc,Budget Widget,63,56.46,"3,556.98 EUR","2,204.09",,VIP,"3,556.98 EUR"
20/02/2026,INV-203919,MEGAMART CORP,budget widget,34,239.06,"£8,128.04",6746.47,,,"£8,128.04"
20/02/2026,INV-289633,MegaMart Corp ,Gadget Lite,145,80.76,11710.2,"7.586,88",,,11710.2
"Feb 20, 2026",INV-729554,small dealer co,Budget Widget,118,80.0,9440.0,NONE,,VIP,9440.0
20/02/26,INV-790537,Small Dealer Co,Budget Widget,67,175.1,11731.7,nan,,VIP,11731.7
20 Feb 2026,INV-860427,MegaMart Corp,Premium Widget,46,130.55,6005.3,4646.7%,,VIP,6005.3
02/21/2026,INV-131167,BigBuy Distribution,Budget Widget,174,284.1,49433.4,34060.82,,,49433.4
"Feb 21, 2026",INV-614064,  MegaMart Corp  ,Premium Widget,27,159.48,"4,305.96",2612.37,,,"4,305.96"
null,INV-683707,BigBuy Distribution,Gadget Lite,148,116.21,17 199.08,14015.84,,,17 199.08
21 Feb 2026,INV-746908,SuperStore Inc,Budget Widget,135,140.59,18979.65,"12,870.38 EUR",,,18979.65
21-02-2026,INV-359642,bigbuy distribution,Budget Widget,92,37.2,3422.4,2558.6%,,,3422.4
21 Feb 2026,INV-698059,BigBuy Distribution,STANDARD WIDGET,161,43.78,7048.6%,5 441.49,,,7048.6%
21/02/2026,INV-981202,BigBuy Distribution,Gadget Pro,156,47.36,7388.16,5334.91,,,7388.16
21/02/26,INV-598355,SuperStore Inc,Gadget Lite,83,94.24,7821.92,5274.56,,VIP,7821.92
21/02/26,INV-295600,SuperStore Inc,Gadget Pro,98,242.78,23792.4%,18 150.88,,,23792.4%
2026/02/21,INV-584952,Small Dealer Co,Gadget  Lite,64,205.03,13121.92,10575.97,,,13121.92
22-02-2026,INV-525581,SuperStore Inc,Standard Widget,185,234.35,43354.75,35162.02,,rush order,43354.75
2026-02-22,INV-857568,MegaMart Corp,Standard Widget,48,73.74,3539.52,none,,nan,3539.52
22/02/26,INV-226502,MegaMart Corp,Gadget Pro,24,260.68,6256.32,3885.1%,,,6256.32
22-02-2026,INV-387883,BigBuy Distribution ,Gadget Lite,137,267.68,36672.16,24185.99,,,36672.16
22.02.2026,INV-122097,Small Dealer Co,Gadget Pro,75,261.61,19 620.75,"12.046,77",,,19 620.75
23.02.2026,INV-415504,Megamart Corp,Premium Widget,186,276.89,51501.54,"39,548.01",,,51501.54
2026/02/23,INV-852233,SuperStore Inc,Premium Widget,86,78.91,N/A,5582.12,,,N/A
02/23/2026,INV-103225,MegaMart Corp,Gadget Pro,51,215.58,,7988.48,,,
02/23/2026,INV-373342,SUPERSTORE INC,Gadget Pro,170,105.55,17943.5,13349.11,,,17943.5
02/23/2026,INV-152201,Bigbuy Distribution,Standard Widget,82,75.63,6201.66,4363.64,,,6201.66
23.02.2026,INV-401950,Small Dealer Co,Gadget Pro,163,92.84,15 132.92,9416.69,,,15 132.92
"Feb 23, 2026",INV-189903,Small Dealer Co ,Gadget  Pro,43,140.77,"₺6,053.11",3944.52,,,"₺6,053.11"
2026/02/23,INV-735829,Small Dealer Co,Premium Widget,44,264.0,11616.0,9799.26,,,11616.0
23/02/26,INV-553959,MegaMart Corp,Gadget Lite,11,91.02,1001.22,755.84,,,1001.22
02/23/2026,INV-430870,BigBuy Distribution,Standard Widget,39,107.72,4201.1%,3548.35,,none,4201.1%
23/02/26,INV-608768,SuperStore Inc,GADGET PRO,152,258.85,"$39,345.20","₺30,073.70",,,"$39,345.20"
02/23/2026,INV-536646,Small Dealer Co,gadget pro,38,256.83,"£9,759.54",7970.81,,,"£9,759.54"
24.02.2026,INV-723068,Small  Dealer  Co,standard widget,183,46.41,8493.03,5793.64,,,8493.03
24/02/2026,INV-673734,BigBuy Distribution,Premium Widget,21,203.73,4278.33,nan,,,4278.33
24 Feb 2026,INV-871635,Small Dealer Co,Gadget Lite,33,131.68,"4.345,44",2 800.65,,rush order,"4.345,44"
24/02/2026,INV-142402,SuperStore Inc,Budget Widget,101,206.35,20841.35,16 840.09,,,20841.35
25/02/26,INV-548509,Small Dealer Co,Budget Widget,183,82.78,15148.74,"11,688.15 EUR",,rush order,15148.74
-,INV-838594,Megamart Corp,Budget Widget,151,41.43,nan,"3,824.09",,,nan
02/25/2026,INV-787657,BigBuy Distribution,Budget Widget,160,222.75,"€35,640.00","28,132.03",,,"€35,640.00"
25-02-2026,INV-217348,Small Dealer Co,Gadget Pro,187,133.43,24951.4%,19073.59,,,24951.4%
null,INV-259826,SuperStore Inc,Premium Widget,16,78.58,1257.28,958.24,,,1257.28
02/25/26,INV-866591,small dealer co,Gadget Pro,130,25.5,3315.0,2361.54,,,3315.0
25.02.2026,INV-779792,BigBuy Distribution,Gadget Lite,19,156.5,2973.5,2145.46,,,2973.5
"Feb 25, 2026",INV-237529,Small Dealer Co,Gadget Pro,39,158.54,"6,183.06",5161.25,,,"6,183.06"
25-02-2026,INV-263907,Small Dealer Co,Budget Widget,116,253.26,29378.16,22570.56,,,29378.16
2026/02/25,INV-551538,Small Dealer Co,  Gadget Lite  ,35,242.18,8476.3,"7,084.18",,,8476.3
"Feb 25, 2026",INV-937798,SuperStore Inc,Premium Widget,40,177.35,7094.0,5118.97,,VIP,7094.0
26/02/2026,INV-261790,  MegaMart Corp  ,Premium Widget,166,190.7,"31,656.20",25787.04,,--,"31,656.20"
26/02/26,INV-542207,BigBuy Distribution,Budget Widget,45,54.44,"2,449.80 EUR","$1,593.53",,,"2,449.80 EUR"
2026/02/26,INV-521161,SuperStore Inc,Standard Widget,119,135.75,16154.25,11345.57,,VIP,16154.25
02/26/2026,INV-834312,Small Dealer Co,  Standard Widget  ,25,130.11,"3,252.75","1,981.81",,none,"3,252.75"
NONE,INV-508937,Small Dealer Co,Gadget Pro,174,77.44,13474.56,9918.71,,VIP,13474.56
26/02/2026,INV-867543,BigBuy Distribution,Standard Widget,64,45.99,2943.36,2172.04,,,2943.36
26-02-2026,INV-467355,BigBuy  Distribution,Premium Widget,76,195.56,14862.56,"10.234,63",,nan,14862.56
26 Feb 2026,INV-968679,BigBuy Distribution,Budget Widget,180,239.74,43153.2,33604.0%,,VIP,43153.2
"Feb 26, 2026",INV-867260,MegaMart Corp,Gadget Pro,33,37.41,1 234.53,1014.94,,,1 234.53
26/02/2026,INV-730823,SuperStore Inc,Gadget Pro,46,161.62,7434.52,null,,,7434.52
"Feb 27, 2026",INV-102187,megamart corp,Premium Widget,104,180.09,"18,729.36","€11,426.23",,rush order,"18,729.36"
"Feb 27, 2026",INV-799631,BigBuy Distribution,Premium Widget,27,263.72,7120.44,5015.59,,null,7120.44
2026-02-27,INV-699780,SuperStore Inc,Gadget Pro,196,111.06,21 767.76,17413.18,,VIP,21 767.76
27-02-2026,INV-357201,MegaMart Corp,Budget Widget,174,176.62,nan,19917.54,,,nan
27/02/26,INV-276324,Small Dealer Co,Gadget Lite ,31,245.94,7624.14,"₺5,731.17",,VIP,7624.14
27/02/2026,INV-154398,SuperStore Inc,Budget Widget,56,91.56,5127.4%,3191.31,,rush order,5127.4%
02/27/26,INV-807890,SuperStore Inc,Standard Widget,162,184.09,nan,21 569.03,,rush order,nan
27 Feb 2026,INV-682119,SuperStore Inc,Premium Widget,152,202.43,30769.36,19427.55,,,30769.36
27-02-2026,INV-713583,MegaMart Corp,Gadget Pro,10,247.54,2475.4,2080.03,,,2475.4
"Feb 28, 2026",INV-386275,MegaMart Corp,Budget Widget,51,226.97,"£11,575.47",8574.77,,,"£11,575.47"
28/02/2026,INV-664814,BigBuy Distribution,Standard Widget,97,78.97,null,6432.55,,,null
2026/02/28,INV-300814,Small Dealer Co,Premium Widget,182,54.56,9929.92,8371.0%,,rush order,9929.92
02/28/26,INV-624629,BigBuy Distribution,Premium Widget,193,81.92,15810.56,13360.39,,VIP,15810.56
28/02/26,INV-744304,SuperStore Inc,Gadget Pro,151,74.26,"$11,213.26","8.799,09",,,"$11,213.26"
28 Feb 2026,INV-658272,Small Dealer Co,budget widget,10,282.61,2 826.10,"2,148.52 EUR",,,2 826.10
28/02/2026,INV-129226,BigBuy Distribution,Gadget Pro,11,129.72,1426.92,975.55,,rush order,1426.92
"Feb 28, 2026",INV-707056,Small Dealer Co,Gadget Pro,16,185.91,2974.6%,2250.48,,,2974.6%
28.02.2026,INV-991215,MegaMart Corp,Premium Widget,25,276.68,6917.0,"4,802.81 USD",,,6917.0
2026/02/28,INV-716366,Small Dealer Co,Gadget Pro,34,192.84,6556.56,"4,607.80 EUR",,,6556.56
2026-02-28,INV-163429,MegaMart Corp,Standard Widget,36,23.44,843.84,656.78,,,843.84
01/03/26,INV-958976,Small Dealer Co,Budget Widget,141,288.73,40710.93,"32,104.37",,,40710.93
01 Mar 2026,INV-444582,MegaMart Corp,Gadget Lite,118,116.27,"13,719.86 TRY",11581.31,,,"13,719.86 TRY"
03/01/2026,INV-966212,MegaMart Corp,Standard Widget,126,265.31,33429.06,27667.09,,,33429.06
01.03.2026,INV-853754,bigbuy distribution,Premium Widget,12,40.64,487.68,296.27,,,487.68
2026/03/01,INV-793013,bigbuy distribution,Standard Widget,151,88.87,"₺13,419.37",8709.13,,,"₺13,419.37"
02.03.2026,INV-927942,Small Dealer Co,Gadget Lite,192,38.31,7 355.52,4678.91,,,7 355.52
02 Mar 2026,INV-887803,BigBuy Distribution,Standard Widget,73,34.91,2548.43,2035.95,,VIP,2548.43
"Mar 02, 2026",INV-345770,BigBuy Distribution,Gadget Lite,137,165.29,"22,644.73 EUR",14 600.18,,,"22,644.73 EUR"
2026/03/02,INV-546800,SuperStore Inc ,Gadget Pro,88,139.01,12232.88,"8,492.93",,,12232.88
02.03.2026,INV-338804,Small Dealer Co,Gadget Pro,120,134.51,"16.141,20","12,931.14",,n/a,"16.141,20"
none,INV-395536,megamart corp,Premium  Widget,102,30.72,3133.44,2036.98,,rush order,3133.44
03/03/26,INV-894423,Small  Dealer  Co,Budget Widget,113,250.12,28263.56,22 312.71,,NULL,28263.56
2026/03/03,INV-456329,Small Dealer Co ,Gadget Pro,97,241.74,"23,448.78 EUR",15904.57,,,"23,448.78 EUR"
03-03-2026,INV-509611,Small Dealer Co,Standard Widget,118,212.01,25017.18,17533.09,,,25017.18
04 Mar 2026,INV-397604,Small Dealer Co,Gadget Lite,58,152.94,"$8,870.52",6051.56,,,"$8,870.52"
04-03-2026,INV-424803,  SuperStore Inc  ,standard widget,84,204.68,17193.12,"$10,616.66",,,17193.12
03/04/26,INV-614807,Small Dealer Co,Gadget Pro,50,189.04,9452.0,7890.42,,,9452.0
03/04/2026,INV-832453,Small Dealer Co,Gadget Pro,157,30.94,"4,857.58","₺3,025.18",,,"4,857.58"
05/03/26,INV-227119,Small Dealer Co,Premium  Widget,188,284.79,53540.52,35332.66,,,53540.52
05 Mar 2026,INV-139609,MegaMart Corp,BUDGET WIDGET,36,161.23,5804.28,"4,613.69",,,5804.28
2026-03-05,INV-736473,BigBuy Distribution,Premium Widget,39,218.55,"8,523.45",5404.89,,,"8,523.45"
2026-03-05,INV-977135,SuperStore  Inc,Premium Widget,85,54.76,4654.6,3655.5%,,,4654.6
2026/03/05,INV-960384,MegaMart Corp,Gadget Lite,109,213.3,23249.7,16530.46,,,23249.7
05 Mar 2026,INV-548665,MegaMart Corp,Standard Widget,66,288.45,19037.7,"11,882.40",,,19037.7
03/05/26,INV-623843,SuperStore  Inc,Premium Widget,64,49.65,"3,177.60 USD","2,163.44",,,"3,177.60 USD"
2026-03-05,INV-738093,SuperStore Inc,Premium Widget,74,288.53,21351.22,16012.71,,,21351.22
2026/03/05,INV-622952,Small Dealer Co,Gadget Lite,107,163.09,17450.63,13706.66,,VIP,17450.63
05 Mar 2026,INV-779525,SuperStore  Inc,Budget Widget,48,125.21,6010.08,4570.72,,,6010.08
2026-03-05,INV-167755,  MegaMart Corp  ,Budget  Widget,68,257.14,17485.52,11939.42,,,17485.52
05-03-2026,INV-356822,MegaMart Corp,GADGET PRO,59,34.59,2040.81,1730.61,,rush order,2040.81
-,INV-548158,SuperStore Inc,Standard Widget ,87,99.9,8691.3%,"₺6,188.79",,,8691.3%
2026-03-06,INV-113457,Bigbuy Distribution,Premium Widget,162,170.42,27 608.04,20380.61,,,27 608.04
06 Mar 2026,INV-367657,BigBuy Distribution,Gadget Lite,135,133.28,"17,992.80",N/A,,,"17,992.80"
"Mar 06, 2026",INV-814149,Small Dealer Co,Budget Widget,172,212.78,36598.16,28331.14,,,36598.16
06/03/26,INV-659102,BigBuy Distribution,Standard Widget ,73,188.6,13 767.80,"11,536.65",,rush order,13 767.80
null,INV-956046,BigBuy Distribution,Gadget  Pro,197,135.25,26644.25,21824.31,,rush order,26644.25
06-03-2026,INV-294655,MegaMart Corp,Gadget Pro,34,39.56,1345.04,1041.2%,,VIP,1345.04
03/06/26,INV-346184,MegaMart Corp,Standard Widget,56,246.57,"13,807.92",8947.13,,VIP,"13,807.92"
2026/03/06,INV-733729,Small Dealer Co,Gadget Pro,182,232.95,NA,"25.538,90",,,NA
07 Mar 2026,INV-860448,BigBuy Distribution,Budget Widget,184,269.24,49540.16,42102.26,,,49540.16
NONE,INV-147976,MegaMart Corp,Standard Widget,164,54.41,"8,923.24 TRY",6537.68,,,"8,923.24 TRY"
07-03-2026,INV-846525,Small Dealer Co,Budget Widget,69,189.89,13102.41,9172.23,,,13102.41
2026-03-07,INV-268018,MegaMart Corp,Standard Widget,42,159.42,6695.64,"4,163.16 USD",,VIP,6695.64
07 Mar 2026,INV-852293,Small Dealer Co,Budget Widget,81,81.71,"₺6,618.51",4397.4%,,VIP,"₺6,618.51"
03/07/26,INV-661620,Small Dealer Co,Gadget Pro,69,82.59,5698.71,"3,584.05",,,5698.71
07.03.2026,INV-977885,Small Dealer Co,Standard Widget,118,109.5,12921.0,8931.72,,,12921.0
07-03-2026,INV-619071,Small  Dealer  Co,Standard Widget,184,147.62,27162.08,20381.5%,,,27162.08
03/07/2026,INV-122613,Small Dealer Co,Budget  Widget,25,294.72,7368.0,5034.45,,rush order,7368.0
08.03.2026,INV-579757,BigBuy Distribution,Gadget Pro,118,209.81,24757.58,"20.983,99",,,24757.58
08/03/2026,INV-472856,SUPERSTORE INC,Standard Widget,123,214.87,26429.01,"17,780.66",,,26429.01
08/03/2026,INV-915509,SuperStore Inc,Gadget Pro,23,52.86,1 215.78,886.13,,,1 215.78
08/03/2026,INV-932929,Small Dealer Co,Gadget Pro,80,197.05,15764.0,11212.61,,rush order,15764.0
08/03/26,INV-921532,SuperStore Inc,Gadget Lite,108,155.57,"16,801.56",12788.49,,,"16,801.56"
2026/03/08,INV-229022,Small Dealer Co,Gadget Lite,26,165.29,"4.297,54",3206.74,,,"4.297,54"
2026-03-08,INV-644675,SuperStore Inc,Premium Widget,157,77.74,"12,205.18",7815.01,,,"12,205.18"
03/08/26,INV-678888,Small Dealer Co,Budget Widget,45,181.58,,6322.6,,,
